player,board,rank,points,raw_time
"YonMyler#3891","Holocache",1,10,126971.517435
"BCats87#9214","Holocache",2,9,224688.371486
"Jerz_11#7908","Holocache",3,8,423844.863659
"CornyB_Knights#3952","Aero Trails — Calido",1,10,176.201
"Tony_The_Brick#8725","Aero Trails — Calido",2,9,297.881
"Lourde#2361","Aero Trails — Solace 3",1,10,288.497
"BlueLeader#8253","Aero Trails — Pavilion",1,10,172.397
"Witcher#3465","Aero Trails — Pavilion",2,9,183.684
"Mr.Kalns#1871","Aero Trails — Pavilion",3,8,223.358
"Eric_EH444#8644","Aero Trails — Pavilion",4,7,229.013
"ReconMonk#4278","Aero Trails — Pavilion",5,6,261.088
"punkda84#1555","Aero Trails — Pavilion",6,5,281.966
"LindaKnights#9411","Aero Trails — Hub City",1,10,302.531
"MSPDriver#3454","Aero Trails — Hub City",2,9,305.933
"Mr.Kalns#1871","Aero Trails — Hub City",3,8,338.111
"Carsten#1920","Aero Trails — Hub City",4,7,475.519
"Lourde#2361","Calido Yellow — Bubblejett Super Phantom",1,10,217.753
"Lourde#2361","Calido Yellow — Kazekura Shinobi-X",1,10,189.052
"Faux_Hubris#3960","Calido Yellow — Kazekura Shinobi-X",2,9,199.086
"Ray.Racer-KG#2740","Calido Yellow — Rando's Metalworks Sunset Speeder",1,10,184.39
"MSPDriver#3454","Calido Yellow — Rando's Metalworks Sunset Speeder",2,9,203.065
"Lourde#2361","Calido Yellow — Rando's Metalworks Sunset Speeder",3,8,208.315
"BCats87#9214","Calido Yellow — Rando's Metalworks Sunset Speeder",4,7,258.998
"Faux_Hubris#3960","Calido Yellow — Valkyrie F9-R",1,10,238.794
"SunnyvaleKid#0926","Calido Yellow — Valkyrie F9-R",2,9,271.363
"HappybuildingB#3416","Calido Yellow — Valley Raceworx T1-B",1,10,281.988
"MSPDriver#3454","Calido Yellow — Valley Raceworx T3 2023",1,10,201.021
"YonMyler#3891","Calido Red — Bubblejett Sprinter 2022",1,10,528.612
"Lourde#2361","Calido Red — Kazekura Shinobi-X",1,10,341.224
"Lourde#2361","Calido Purple — Bubblejett Bonanza 2023",1,10,381.705
"Ray.Racer-KG#2740","Calido Purple — Bubblejett Sprinter 2022",1,10,381.394
"CornyB_Knights#3952","Calido Purple — Bubblejett Sprinter OG Custom 2022",1,10,424.698
"Lourde#2361","Calido Purple — Kazekura Shinobi-X",1,10,281.978
